Pond,doc,abw,feed_given,do,temperature,energy_cost,labor_cost,harvest_cost,bonus_cost,Mortalitas (kg),Mortalitas (pcs),sr,seed_cost,initial_stocking,probiotic_cost,feeding_cost,date,other_cost,nh4,nh3,tan,ph,alkalinity,salinity,orp,ca,mg,hardness,po4,no2,no3,plankton,ga, bga ,diatom,euglena,dino,protozoa,zoo,vibrio_yellow,vibrio_green,vibrio_black,total_vibrio,total_bakteri,percent_vibrio,wheater,tss,turbidity,conductivity,luminescence,settleable_solids,fr,protein_content,feed_given.1,population,biomass_kg,harvest_biomass_kg,harvest_population,total_biomass,realized_revenue,potential_revenue,cost_harvest,cost_energy,cost_probiotics,cost_other,cost_labor,cost_bonuss,cost_feed,cost_seed,total_cost,adj_fr,feed_ration_1,feed_ration_2,feed_ration_3,feed_ration_4,fcr,cost_per_kg,initial_fr,realized_fcr,carriying_capacity,cum_feed,cum_total_cost,yield,profit,wqi
A,80,17.87,300,7.32,28.2,12.0,142029.1667,,,,,0.76,,,309311.856,4800000,04/04/2025,,5.0,0.46,5.46,8.0,,27,,,,,,5.0,,43400,,,,,,,,,,,,,,,,25,,,,0.21,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,81,18.54,304,7.93,28.9,12.0,142029.1667,,,,,0.76,,,316924.6108,4864000,04/05/2025,,5.0,0.42,5.42,7.9,,27,,,,,,4.5,,60000,0.79,0.11,0.01,0.0,0.07,0.02,0.0,140.0,180.0,0.0,320.0,37.1,0.01,,,25,,,,0.2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,82,19.21,315,7.22,28.8,12.0,142029.1667,,,,,0.76,,,324537.3657,5040000,04/06/2025,,5.0,0.42,5.42,8.0,,26,,363.0,1228.0,1591.0,5.5,5.5,10.0,62200,,,,,,,,,,,,,,,,20,,,,0.19,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,83,19.88,294,6.31,29.6,12.0,142029.1667,,,,,0.76,,,332150.1205,4704000,04/07/2025,,6.0,0.52,6.52,8.0,,28,,,,,,5.5,,85500,,,,,,,,,,,,,,,,20,,,,0.18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,84,20.55,323,6.49,29.4,12.0,142029.1667,,,,,0.76,,,339762.8753,5168000,04/08/2025,,6.0,0.58,6.58,8.0,320.0,30,,,,,,6.0,,78700,0.73,0.07,0.03,0.0,0.16,0.0,0.0,150.0,50.0,0.0,200.0,6.6,0.03,,,25,,,,0.17,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,85,21.2,327,6.22,29.8,12.0,142029.1667,,,,,0.76,,,347375.6302,5232000,04/09/2025,,5.5,0.49,5.99,8.0,292.0,28,,403.0,1203.0,1606.0,8.5,6.0,11.0,52100,,,,,,,,,,,,,,,,25,,,,0.16,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,86,21.56,330,6.25,29.4,12.0,142029.1667,,,,,0.75,,,354988.385,5280000,04/10/2025,,5.5,0.53,6.03,8.0,292.0,28,,344.0,1279.0,1623.0,,6.0,,38800,,,,,,,,,,,,,,,,25,,,,0.15,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,87,21.92,334,6.05,29.5,12.0,142029.1667,,,,,0.75,,,362601.1398,5344000,04/11/2025,,5.0,0.43,5.43,8.0,276.0,28,,,,,,6.0,,78700,0.58,0.32,0.05,0.0,0.04,0.0,0.0,910.0,80.0,0.0,990.0,15.6,0.06,,,25,,,,0.14,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,88,22.28,193,6.25,28.9,12.0,142029.1667,,,,,0.75,,,370213.8947,3088000,04/12/2025,,5.0,0.53,5.53,8.1,292.0,30,,,,,8.0,6.5,13.0,68900,,,,,,,,,,,,,,,,25,,,,0.13,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,89,22.64,251,6.12,29.7,12.0,142029.1667,,,,,0.75,,,377826.6495,4016000,04/13/2025,,3.5,0.31,3.81,7.9,274.0,29,,364.0,1229.0,1593.0,,6.5,,48900,,,,,,,,,,,,,,,,25,,,,0.12,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,90,23.0,325,6.14,30.0,12.0,142029.1667,,,,,0.75,,,385439.4043,5200000,04/14/2025,,4.0,0.39,4.39,8.0,296.0,30,,,,,,6.5,,48800,0.58,0.32,0.03,0.0,0.06,0.01,0.0,540.0,40.0,0.0,580.0,9.3,0.06,,,25,,,,0.11,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,91,23.22,328,6.3,29.9,12.0,142029.1667,,,,,0.75,,,393052.1592,5248000,04/15/2025,,4.0,0.5,4.5,8.1,290.0,30,,,,,8.0,7.0,15.0,33200,,,,,,,,,,,,,,,,30,,,,0.1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,92,23.44,286,6.15,29.4,12.0,142029.1667,,,,,0.75,,,400664.914,4576000,04/16/2025,,3.5,0.34,3.84,8.0,274.0,30,,404.0,1204.0,1608.0,,7.0,,63200,,,,,,,,,,,,,,,,30,,,,0.09,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,93,23.66,283,5.09,29.4,12.0,142029.1667,,,,,0.74,,,408277.6688,4528000,04/17/2025,,3.2,0.23,3.43,8.0,272.0,30,,345.0,1280.0,1625.0,,7.0,,73300,0.56,0.25,0.08,0.0,0.1,0.01,0.0,3.26,0.0,0.0,3.26,16.5,0.2,,,30,,,,0.08,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,94,23.88,193,8.02,27.6,12.0,142029.1667,,,,,0.74,,,415890.4236,3088000,04/18/2025,,4.0,0.35,4.35,8.0,290.0,29,,,,,8.0,8.0,15.0,72200,,,,,,,,,,,,,,,,25,,,,0.07,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,95,24.12,266,,28.7,12.0,142029.1667,,,,,0.74,,,423503.1785,4256000,04/19/2025,,3.0,0.23,3.23,8.1,294.0,30,,,,,,8.0,,81000,,,,,,,,,,,,,,,,20,,,,0.06,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,96,24.97,225,6.7,29.4,12.0,142029.1667,,,,,0.74,,,431115.9333,3600000,04/20/2025,,2.5,0.31,2.81,8.2,302.0,28,,365.0,1230.0,1595.0,,8.5,,85500,0.76,0.14,0.0,0.0,0.08,0.01,0.41,3.48,0.0,0.0,3.48,35.3,0.1,,,25,,,,0.05,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,97,25.82,320,5.35,29.5,12.0,142029.1667,,,,,0.74,,,438728.6881,5120000,04/21/2025,,2.8,0.21,3.01,8.0,290.0,30,,,,,7.5,10.0,15.0,71000,,,,,,,,,,,,,,,,25,,,,0.04,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,98,26.67,324,5.7,29.3,12.0,142029.1667,,,,,0.74,,,446341.443,5184000,04/22/2025,,4.0,0.3,4.3,8.0,308.0,30,,,,,,11.0,,36600,,,,,,,,,,,,,,,,25,,,,0.03,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,99,27.53,327,5.17,28.9,12.0,142029.1667,,,,,0.74,,,453954.1978,5232000,04/23/2025,,5.0,0.36,5.36,8.0,274.0,28,,405.0,1205.0,1610.0,,9.0,,23200,0.8,0.11,0.04,0.0,0.01,0.01,1.97,1.07,0.0,0.0,1.07,12.6,0.08,,,30,,,,0.02,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
